! year          LOD
! [a]           [ms]
  1962.000      1.723
  1962.003      1.669
  1962.005      1.582
  1962.008      1.496
  1962.011      1.416
  1962.014      1.382
  1962.016      1.413
  1962.019      1.505
  1962.022      1.628
  1962.025      1.738
  1962.027      1.794
  1962.030      1.774
  1962.033      1.667
  1962.036      1.510
  1962.038      1.312
  1962.041      1.112
  1962.044      0.936
  1962.047      0.811
  1962.049      0.733
  1962.052      0.681
  1962.055      0.678
  1962.057      0.721
  1962.060      0.790
  1962.063      0.862
  1962.066      0.944
  1962.068      1.004
  1962.071      1.037
  1962.074      1.052
  1962.077      1.052
  1962.079      1.044
  1962.082      1.037
  1962.085      1.017
  1962.088      1.041
  1962.090      1.125
  1962.093      1.289
  1962.096      1.506
  1962.099      1.714
  1962.101      1.879
  1962.104      1.959
  1962.107      1.930
  1962.110      1.818
  1962.112      1.650
  1962.115      1.474
  1962.118      1.303
  1962.120      1.166
  1962.123      1.081
  1962.126      1.056
  1962.129      1.064
  1962.131      1.113
  1962.134      1.160
  1962.137      1.213
  1962.140      1.287
  1962.142      1.333
  1962.145      1.359
  1962.148      1.374
  1962.151      1.351
  1962.153      1.308
  1962.156      1.256
  1962.159      1.221
  1962.162      1.202
  1962.164      1.243
  1962.167      1.352
  1962.170      1.520
  1962.172      1.730
  1962.175      1.929
  1962.178      2.060
  1962.181      2.084
  1962.183      1.999
  1962.186      1.835
  1962.189      1.638
  1962.192      1.454
  1962.194      1.313
  1962.197      1.220
  1962.200      1.194
  1962.203      1.217
  1962.205      1.277
  1962.208      1.351
  1962.211      1.444
  1962.214      1.522
  1962.216      1.584
  1962.219      1.610
  1962.222      1.611
  1962.225      1.569
  1962.227      1.509
  1962.230      1.417
  1962.233      1.338
  1962.235      1.291
  1962.238      1.277
  1962.241      1.334
  1962.244      1.470
  1962.246      1.664
  1962.249      1.873
  1962.252      2.060
  1962.255      2.162
  1962.257      2.151
  1962.260      2.043
  1962.263      1.858
  1962.266      1.657
  1962.268      1.486
  1962.271      1.380
  1962.274      1.336
  1962.277      1.339
  1962.279      1.386
  1962.282      1.462
  1962.285      1.553
  1962.287      1.644
  1962.290      1.713
  1962.293      1.747
  1962.296      1.760
  1962.298      1.728
  1962.301      1.652
  1962.304      1.564
  1962.307      1.482
  1962.309      1.407
  1962.312      1.381
  1962.315      1.409
  1962.318      1.501
  1962.320      1.651
  1962.323      1.840
  1962.326      2.037
  1962.329      2.184
  1962.331      2.240
  1962.334      2.180
  1962.337      2.019
  1962.339      1.812
  1962.342      1.609
  1962.345      1.449
  1962.348      1.358
  1962.350      1.329
  1962.353      1.350
  1962.356      1.407
  1962.359      1.494
  1962.361      1.576
  1962.364      1.649
  1962.367      1.711
  1962.370      1.744
  1962.372      1.735
  1962.375      1.693
  1962.378      1.612
  1962.381      1.527
  1962.383      1.440
  1962.386      1.374
  1962.389      1.352
  1962.392      1.391
  1962.394      1.466
  1962.397      1.578
  1962.400      1.697
  1962.402      1.785
  1962.405      1.796
  1962.408      1.710
  1962.411      1.537
  1962.413      1.313
  1962.416      1.080
  1962.419      0.869
  1962.422      0.701
  1962.424      0.603
  1962.427      0.579
  1962.430      0.595
  1962.433      0.638
  1962.435      0.709
  1962.438      0.786
  1962.441      0.824
  1962.444      0.845
  1962.446      0.826
  1962.449      0.787
  1962.452      0.720
  1962.454      0.634
  1962.457      0.535
  1962.460      0.458
  1962.463      0.427
  1962.465      0.460
  1962.468      0.555
  1962.471      0.701
  1962.474      0.851
  1962.476      0.971
  1962.479      1.029
  1962.482      1.011
  1962.485      0.925
  1962.487      0.772
  1962.490      0.612
  1962.493      0.453
  1962.496      0.345
  1962.498      0.282
  1962.501      0.286
  1962.504      0.334
  1962.507      0.421
  1962.509      0.511
  1962.512      0.600
  1962.515      0.673
  1962.517      0.722
  1962.520      0.739
  1962.523      0.728
  1962.526      0.691
  1962.528      0.637
  1962.531      0.585
  1962.534      0.534
  1962.537      0.520
  1962.539      0.575
  1962.542      0.690
  1962.545      0.870
  1962.548      1.068
  1962.550      1.227
  1962.553      1.316
  1962.556      1.317
  1962.559      1.226
  1962.561      1.087
  1962.564      0.912
  1962.567      0.756
  1962.569      0.628
  1962.572      0.554
  1962.575      0.537
  1962.578      0.567
  1962.580      0.620
  1962.583      0.688
  1962.586      0.758
  1962.589      0.816
  1962.591      0.850
  1962.594      0.844
  1962.597      0.816
  1962.600      0.753
  1962.602      0.672
  1962.605      0.595
  1962.608      0.525
  1962.611      0.481
  1962.613      0.497
  1962.616      0.582
  1962.619      0.737
  1962.621      0.926
  1962.624      1.116
  1962.627      1.233
  1962.630      1.260
  1962.632      1.180
  1962.635      1.029
  1962.638      0.841
  1962.641      0.670
  1962.643      0.549
  1962.646      0.475
  1962.649      0.463
  1962.652      0.513
  1962.654      0.600
  1962.657      0.708
  1962.660      0.820
  1962.663      0.931
  1962.665      1.011
  1962.668      1.081
  1962.671      1.118
  1962.674      1.115
